5981 90937
0 harry 1214
1 potter 97
2 and 1924
3 the 3630
4 sorcerer's 16
5 stone 75
6 chapter 17
7 one 256
8 boy 83
9 who 179
10 lived 9
11 mr 81
12 . 6136
13 mrs 46
14 dursley 54
15 , 5658
16 of 1267
17 number 17
18 four 36
19 privet 16
20 drive 20
21 were 306
22 proud 7
23 to 1861
24 say 75
25 that 603
26 they 597
27 perfectly 5
28 normal 10
29 thank 9
30 you 885
31 very 172
32 much 76
33 last 84
34 people 92
35 you'd 22
36 expect 13
37 be 368
38 involved 5
39 in 967
40 anything 74
41 strange 23
42 or 109
43 mysterious 6
44 because 85
45 just 180
46 didn't 194
47 hold 12
48 with 416
49 such 21
50 nonsense 4
51 was 1186
52 director 2
53 a 1691
54 firm 2
55 called 44
56 grunnings 2
57 which 89
58 made 66
59 drills 6
60 he 1528
61 big 28
62 beefy 1
63 man 34
64 hardly 22
65 any 63
66 neck 18
67 although 11
68 did 101
69 have 297
70 large 51
71 mustache 6
72 thin 10
73 blonde 2
74 had 702
75 nearly 37
76 twice 15
77 usual 18
78 amount 1
79 came 75
80 useful 6
81 as 526
82 she 229
83 spent 11
84 so 238
85 her 180
86 time 120
87 craning 2
88 over 171
89 garden 6
90 fences 1
91 spying 3
92 on 637
93 neighbors 2
94 dursleys 50
95 small 32
96 son 9
97 dudley 116
98 their 217
99 opinion 5
100 there 269
101 no 196
102 finer 2
103 anywhere 7
104 everything 30
105 wanted 46
106 but 485
107 also 15
108 secret 15
109 greatest 5
110 fear 10
111 somebody 3
112 would 108
113 discover 1
114 it 1027
115 think 123
116 could 195
117 bear 5
118 if 245
119 anyone 37
120 found 69
121 out 375
122 about 225
123 potters 11
124 dursley's 2
125 sister 14
126 hadn't 54
127 met 19
128 for 370
129 several 13
130 years 52
131 fact 15
132 pretended 3
133 good 88
134 nothing 57
135 husband 1
136 undursleyish 1
137 possible 12
138 shuddered 3
139 what 344
140 arrived 17
141 street 21
142 knew 64
143 too 101
144 never 126
145 even 105
146 seen 53
147 him 501
148 this 249
149 another 55
150 reason 22
151 keeping 10
152 away 70
153 want 74
154 mixing 2
155 child 2
156 like 194
157 when 177
158 woke 10
159 up 371
160 dull 2
161 gray 13
162 tuesday 3
163 our 41
164 story 11
165 starts 3
166 cloudy 2
167 sky 13
168 outside 36
169 suggest 4
170 things 54
171 soon 14
172 happening 4
173 all 398
174 country 4
175 hummed 3
176 picked 16
177 his 937
178 most 30
179 boring 3
180 tie 1
181 work 28
182 gossiped 1
183 happily 5
184 wrestled 1
185 screaming 4
186 into 219
187 high 44
188 chair 10
189 none 11
190 them 325
191 noticed 29
192 tawny 2
193 owl 44
194 flutter 3
195 past 44
196 window 32
197 at 625
198 half 40
199 eight 6
200 briefcase 1
201 pecked 1
202 cheek 4
203 tried 63
204 kiss 3
205 bye 10
206 missed 4
207 now 166
208 having 15
209 tantrum 3
210 throwing 10
211 cereal 1
212 walls 16
213 little 71
214 tyke 2
215 chortled 2
216 left 82
217 house 77
218 got 199
219 car 20
220 backed 3
221 four's 1
222 corner 25
223 first 115
224 sign 17
225 something 129
226 peculiar 4
227 cat 23
228 reading 5
229 map 4
230 second 43
231 realize 10
232 then 165
233 jerked 10
234 head 99
235 around 142
236 look 126
237 again 101
238 tabby 4
239 standing 33
240 wasn't 75
241 sight 25
242 been 211
243 thinking 16
244 ? 754
245 must 58
246 trick 3
247 light 27
248 blinked 5
249 stared 35
250 back 261
251 drove 6
252 road 7
253 watched 21
254 mirror 46
255 said 794
256 looking 109
257 cats 6
258 couldn't 105
259 read 42
260 maps 1
261 signs 1
262 gave 37
263 himself 65
264 shake 7
265 put 61
266 mind 49
267 toward 71
268 town 5
269 thought 96
270 except 24
271 order 4
272 hoping 11
273 get 194
274 day 59
275 edge 11
276 driven 3
277 by 150
278 else 36
279 sat 45
280 morning 32
281 traffic 3
282 jam 3
283 help 29
284 noticing 9
285 seemed 72
286 lot 47
287 strangely 5
288 dressed 7
289 cloaks 5
290 funny 29
291 clothes 8
292 getups 1
293 saw 63
294 young 10
295 ! 474
296 supposed 16
297 some 81
298 stupid 20
299 new 38
300 fashion 2
301 drummed 1
302 fingers 14
303 steering 2
304 wheel 1
305 eyes 105
306 fell 46
307 huddle 2
308 these 39
309 weirdos 2
310 quite 36
311 close 19
312 whispering 4
313 excitedly 6
314 together 20
315 enraged 1
316 see 180
317 couple 8
318 weren't 26
319 why 66
320 older 6
321 than 93
322 wearing 18
323 an 219
324 emerald 6
325 green 31
326 cloak 57
327 nerve 5
328 struck 6
329 probably 11
330 silly 3
331 stunt 1
332 obviously 13
333 collecting 3
334 yes 69
335 moved 22
336 few 55
337 minutes 30
338 later 43
339 parking 3
340 always 41
341 office 5
342 ninth 1
343 floor 53
344 might 54
345 harder 7
346 concentrate 3
347 owls 23
348 swoop 1
349 ing 4
350 broad 2
351 daylight 5
352 though 86
353 down 182
354 pointed 21
355 gazed 1
356 open 57
357 mouthed 3
358 after 68
359 sped 8
360 overhead 6
361 nighttime 3
362 however 21
363 free 15
364 yelled 15
365 five 33
366 different 20
367 important 16
368 telephone 6
369 calls 2
370 shouted 29
371 bit 67
372 more 109
373 mood 5
374 until 45
375 lunchtime 2
376 he'd 138
377 stretch 1
378 legs 22
379 walk 12
380 across 38
381 buy 12
382 bun 2
383 from 241
384 bakery 1
385 forgotten 17
386 passed 24
387 group 2
388 next 96
389 baker's 1
390 eyed 5
391 angrily 7
392 know 212
393 uneasy 2
394 bunch 2
395 single 10
396 tin 1
397 way 94
398 clutching 7
399 doughnut 1
400 bag 10
401 caught 39
402 words 24
403 saying 44
404 that's 81
405 right 127
406 i 654
407 heard 75
408 stopped 29
409 dead 24
410 flooded 4
411 looked 169
412 whisperers 1
413 better 41
414 dashed 3
415 hurried 14
416 snapped 25
417 secretary 1
418 not 237
419 disturb 2
420 seized 13
421 almost 47
422 finished 13
423 dialing 1
424 home 18
425 changed 11
426 receiver 1
427 stroked 3
428 being 38
429 unusual 5
430 name 43
431 sure 43
432 lots 8
433 come 95
434 nephew 2
435 harvey 1
436 harold 1
437 point 14
438 worrying 3
439 upset 5
440 mention 8
441 blame 4
442 same 37
443 those 26
444 afternoon 15
445 building 3
446 o'clock 12
447 still 92
448 worried 11
449 walked 46
450 straight 25
451 someone 30
452 door 105
453 sorry 31
454 grunted 7
455 tiny 14
456 old 59
457 stumbled 4
458 seconds 15
459 before 107
460 realized 17
461 violet 3
462 seem 16
463 knocked 18
464 ground 34
465 contrary 2
466 face 93
467 split 6
468 wide 15
469 smile 13
470 squeaky 1
471 voice 59
472 passersby 2
473 stare 5
474 don't 147
475 my 106
476 dear 20
477 sir 24
478 me 219
479 today 15
480 rejoice 1
481 has 32
482 gone 50
483 muggles 19
484 yourself 14
485 should 43
486 celebrating 5
487 happy 13
488 hugged 3
489 middle 13
490 off 201
491 stood 37
492 rooted 2
493 spot 8
494 complete 4
495 stranger 7
496 muggle 22
497 whatever 9
498 rattled 4
499 set 26
500 imagining 5
501 hoped 4
502 approve 1
503 imagination 2
504 pulled 51
505 driveway 1
506 thing 48
507 improve 2
508 spotted 11
509 sitting 26
510 wall 36
511 markings 3
512 its 85
513 shoo 1
514 loudly 18
515 move 26
516 stern 4
517 behavior 1
518 wondered 14
519 trying 64
520 pull 12
521 let 62
522 determined 3
523 wife 3
524 nice 24
525 told 93
526 dinner 8
527 door's 1
528 problems 4
529 daughter 1
530 how 135
531 learned 10
532 word 19
533 won't 25
534 act 1
535 normally 3
536 bed 45
537 went 71
538 living 11
539 room 91
540 catch 24
541 report 4
542 evening 14
543 news 9
544 finally 23
545 bird 2
546 watchers 1
547 everywhere 6
548 reported 1
549 nation's 1
550 behaving 3
551 unusually 2
552 hunt 1
553 night 46
554 are 158
555 ever 60
556 hundreds 11
557 sightings 1
558 birds 5
559 flying 15
560 every 54
561 direction 13
562 since 22
563 sunrise 1
564 experts 1
565 unable 2
566 explain 12
567 suddenly 69
568 sleeping 3
569 pattern 1
570 newscaster 1
571 allowed 18
572 grin 6
573 jim 2
574 mcguffin 1
575 weather 3
576 going 135
577 showers 1
578 tonight 21
579 well 112
580 ted 1
581 weatherman 1
582 it's 150
583 only 111
584 acting 3
585 oddly 2
586 viewers 1
587 far 22
588 apart 13
589 kent 2
590 yorkshire 2
591 dundee 1
592 phoning 1
593 tell 70
594 instead 16
595 rain 4
596 promised 3
597 yesterday 7
598 they've 7
599 downpour 1
600 shooting 6
601 stars 9
602 perhaps 18
603 bonfire 1
604 early 4
605 week 24
606 folks 1
607 can 82
608 promise 2
609 wet 4
610 frozen 2
611 armchair 3
612 britain 3
613 place 34
614 whisper 8
615 carrying 10
616 two 103
617 cups 2
618 tea 14
619 cleared 6
620 throat 5
621 nervously 11
622 er 18
623 petunia 58
624 haven't 21
625 your 149
626 lately 3
627 expected 12
628 shocked 7
629 angry 15
630 sharply 7
631 stuff 15
632 mumbled 5
633 maybe 19
634 do 168
635 crowd 17
636 sipped 1
637 through 125
638 pursed 1
639 lips 9
640 whether 10
641 dared 3
642 decided 11
643 dare 12
644 casually 4
645 dudley's 23
646 age 5
647 wouldn't 48
648 suppose 30
649 stiffly 3
650 what's 38
651 howard 1
652 isn't 22
653 nasty 14
654 common 23
655 ask 33
656 oh 68
657 heart 25
658 sinking 2
659 horribly 3
660 agree 2
661 subject 3
662 upstairs 13
663 while 60
664 bathroom 5
665 crept 11
666 bedroom 6
667 peered 7
668 front 52
669 staring 23
670 waiting 19
671 related 1
672 pair 16
673 asleep 21
674 quickly 44
675 lay 17
676 awake 8
677 turning 16
678 comforting 2
679 near 16
680 kind 10
681 mixed 4
682 yawned 2
683 turned 77
684 affect 1
685 wrong 18
686 drifting 1
687 sleep 18
688 showing 7
689 sleepiness 1
690 statue 3
691 fixed 6
692 unblinkingly 2
693 quiver 3
694 slammed 7
695 nor 6
696 swooped 7
697 midnight 11
698 appeared 12
699 watching 19
700 silently 7
701 popped 2
702 cat's 1
703 tail 14
704 twitched 5
705 narrowed 2
706 tall 12
707 judging 1
708 silver 33
709 hair 37
710 beard 12
711 both 32
712 long 71
713 enough 48
714 tuck 1
715 belt 1
716 robes 26
717 purple 14
718 swept 2
719 heeled 1
720 buckled 1
721 boots 5
722 blue 12
723 bright 20
724 sparkling 4
725 behind 79
726 moon 7
727 spectacles 2
728 nose 31
729 crooked 2
730 broken 14
731 least 11
732 man's 3
733 albus 12
734 dumbledore 142
735 where 100
736 unwelcome 1
737 busy 11
738 rummaging 2
739 other 90
740 end 50
741 amuse 2
742 chuckled 7
743 muttered 21
744 known 12
745 inside 59
746 pocket 17
747 cigarette 1
748 lighter 2
749 flicked 3
750 held 22
751 air 47
752 clicked 7
753 nearest 6
754 lamp 15
755 pop 5
756 flickered 2
757 darkness 7
758 twelve 18
759 times 18
760 outer 3
761 lights 5
762 whole 33
763 pinpricks 1
764 distance 4
765 beady 2
766 able 26
767 pavement 1
768 slipped 10
769 moment 47
770 spoke 19
771 fancy 1
772 seeing 4
773 here 112
774 professor 181
775 mcgonagall 95
776 smiling 20
777 rather 22
778 severe 1
779 woman 18
780 square 2
781 glasses 15
782 exactly 22
783 shape 3
784 black 57
785 drawn 2
786 tight 9
787 distinctly 1
788 ruffled 4
789 asked 60
790 ve 3
791 sit 18
792 stiff 2
793 brick 3
794 dozen 3
795 feasts 2
796 parties 2
797 sniffed 4
798 everyone's 4
799 impatiently 3
800 they'd 36
801 careful 10
802 something's 3
803 dark 62
804 flocks 1
805 they're 41
806 completely 6
807 bound 4
808 notice 8
809 i'll 44
810 bet 16
811 dedalus 4
812 diggle 3
813 sense 4
814 can't 65
815 gently 6
816 we've 40
817 precious 2
818 celebrate 2
819 eleven 16
820 irritably 3
821 lose 13
822 heads 19
823 downright 2
824 careless 2
825 streets 2
826 swapping 1
827 rumors 3
828 threw 17
829 sharp 12
830 sideways 4
831 glance 3
832 fine 7
833 youknow 2
834 seems 8
835 disappeared 17
836 us 81
837 really 73
838 certainly 8
839 we 152
840 thankful 1
841 care 8
842 lemon 7
843 drop 8
844 sweet 4
845 i'm 121
846 fond 2
847 coldly 4
848 drops 3
849 surely 3
850 sensible 1
851 person 8
852 call 19
853 persuade 2
854 proper 5
855 voldemort 31
856 flinched 1
857 unsticking 1
858 gets 9
859 confusing 2
860 keep 56
861 frightened 5
862 voldemort's 7
863 haven 1
864 t 7
865 sounding 7
866 exasperated 1
867 admiring 3
868 you're 57
869 everyone 55
870 knows 21
871 flatter 1
872 calmly 3
873 powers 3
874 will 89
875 noble 2
876 use 25
877 lucky 17
878 blushed 2
879 madam 36
880 pomfrey 12
881 liked 14
882 earmuffs 1
883 shot 11
884 he's 75
885 reached 37
886 anxious 2
887 discuss 1
888 real 12
889 cold 26
890 hard 30
891 neither 10
892 piercing 4
893 plain 3
894 believe 22
895 true 14
896 choosing 2
897 answer 22
898 pressed 7
899 is 175
900 godric's 1
901 hollow 1
902 find 54
903 rumor 1
904 lily 7
905 james 5
906 bowed 9
907 gasped 20
908 patted 2
909 shoulder 15
910 heavily 4
911 mcgonagall's 6
912 trembled 3
913 kill 20
914 potter's 7
915 power 10
916 somehow 13
917 broke 11
918 nodded 10
919 glumly 1
920 faltered 1
921 done 44
922 killed 14
923 astounding 1
924 stop 45
925 heaven 2
926 survive 1
927 guess 4
928 may 10
929 lace 1
930 handkerchief 5
931 dabbed 1
932 beneath 6
933 great 72
934 sniff 2
935 took 63
936 golden 10
937 watch 18
938 examined 3
939 odd 13
940 hands 34
941 numbers 2
942 planets 6
943 moving 8
944 hagrid's 34
945 late 15
946 i'd 30
947 places 5
948 i've 75
949 bring 5
950 aunt 65
951 uncle 121
952 family 27
953 mean 34
954 live 12
955 cried 11
956 jumping 3
957 feet 52
958 pointing 18
959 less 10
960 kicking 1
961 mother 28
962 sweets 7
963 best 34
964 firmly 3
965 written 11
966 letter 46
967 repeated 6
968 faintly 2
969 understand 17
970 he'll 17
971 famous 24
972 legend 1
973 surprised 7
974 future 2
975 books 43
976 world 24
977 seriously 2
978 top 34
979 turn 19
980 boy's 2
981 talk 21
982 remember 39
983 cara 2
984 growing 1
985 ready 16
986 take 63
987 opened 19
988 mouth 21
989 swallowed 8
990 course 49
991 getting 33
992 hiding 7
993 underneath 11
994 bringing 5
995 wise 3
996 trust 7
997 hagrid 336
998 life 39
999 grudgingly 1
1000 pretend 4
1001 does 24
1002 tend 1
1003 low 15
1004 rumbling 3
1005 sound 18
1006 silence 15
1007 grew 5
1008 steadily 1
1009 louder 1
1010 headlight 1
1011 swelled 2
1012 roar 3
1013 huge 20
1014 motorcycle 8
1015 landed 11
1016 astride 1
1017 simply 8
1018 wild 14
1019 tangles 1
1020 bushy 3
1021 hid 2
1022 size 10
1023 trash 5
1024 lids 1
1025 leather 4
1026 baby 10
1027 dolphins 1
1028 vast 3
1029 muscular 1
1030 arms 23
1031 holding 26
1032 bundle 5
1033 blankets 6
1034 relieved 6
1035 borrowed 3
1036 giant 24
1037 climbing 3
1038 carefully 13
1039 sirius 2
1040 lent 3
1041 destroyed 4
1042 started 49
1043 swarmin 1
1044 flyin 1
1045 bristol 1
1046 bent 14
1047 forward 34
1048 visible 2
1049 fast 20
1050 under 39
1051 tuft 1
1052 jet 4
1053 forehead 12
1054 curiously 5
1055 shaped 4
1056 cut 8
1057 bolt 4
1058 lightning 6
1059 whispered 35
1060 scar 17
1061 forever 5
1062 scars 2
1063 handy 1
1064 myself 10
1065 above 16
1066 knee 4
1067 perfect 6
1068 london 14
1069 underground 7
1070 give 33
1071 we'd 13
1072 shaggy 2
1073 scratchy 1
1074 whiskery 1
1075 howl 1
1076 wounded 1
1077 dog 22
1078 shhh 1
1079 hissed 7
1080 you'll 34
1081 wake 9
1082 s 6
1083 sobbed 4
1084 taking 19
1085 burying 1
1086 c 4
1087 stand 19
1088 poor 9
1089 ter 78
1090 sad 3
1091 grip 3
1092 we'll 29
1093 patting 3
1094 gingerly 1
1095 arm 19
1096 stepped 18
1097 laid 3
1098 doorstep 2
1099 tucked 3
1100 harry's 113
1101 full 37
1102 minute 14
1103 three 80
1104 shoulders 7
1105 shook 18
1106 furiously 11
1107 twinkling 2
1108 usually 11
1109 shone 4
1110 dumbledore's 16
1111 business 10
1112 staying 4
1113 go 134
1114 join 6
1115 celebrations 1
1116 yeah 21
1117 muffled 3
1118 takin 4
1119 bike 5
1120 g'night 1
1121 wiping 5
1122 streaming 2
1123 jacket 3
1124 sleeve 4
1125 swung 14
1126 onto 38
1127 kicked 7
1128 engine 3
1129 rose 11
1130 shall 7
1131 nodding 4
1132 blew 6
1133 reply 1
1134 once 74
1135 balls 10
1136 lamps 1
1137 glowed 2
1138 orange 4
1139 make 53
1140 slinking 1
1141 step 12
1142 luck 10
1143 murmured 7
1144 heel 2
1145 swish 3
1146 breeze 2
1147 neat 5
1148 hedges 1
1149 silent 9
1150 tidy 2
1151 inky 1
1152 astonishing 3
1153 happen 11
1154 rolled 11
1155 without 41
1156 waking 1
1157 hand 69
1158 closed 5
1159 beside 4
1160 slept 3
1161 knowing 10
1162 special 7
1163 woken 4
1164 hours 8
1165 scream 3
1166 milk 1
1167 bottles 7
1168 spend 2
1169 weeks 11
1170 prodded 2
1171 pinched 1
1172 cousin 3
1173 meeting 5
1174 hushed 2
1175 voices 5
1176 vanishing 2
1177 glass 21
1178 ten 30
1179 sun 5
1180 gardens 1
1181 lit 8
1182 brass 5
1183 fateful 1
1184 photographs 5
1185 mantelpiece 1
1186 showed 16
1187 ago 13
1188 pictures 1
1189 pink 14
1190 beach 1
1191 ball 12
1192 colored 2
1193 bonnets 1
1194 longer 3
1195 blond 4
1196 riding 1
1197 bicycle 1
1198 carousel 1
1199 fair 4
1200 playing 14
1201 computer 6
1202 game 19
1203 father 28
1204 kissed 2
1205 yet 41
1206 shrill 1
1207 noise 22
1208 start 20
1209 rapped 2
1210 screeched 2
1211 walking 14
1212 kitchen 14
1213 frying 2
1214 pan 1
1215 stove 1
1216 dream 10
1217 feeling 25
1218 demanded 3
1219 bacon 7
1220 burn 2
1221 duddy's 1
1222 birthday 14
1223 groaned 5
1224 slowly 20
1225 socks 5
1226 pulling 10
1227 spider 1
1228 used 16
1229 spiders 2
1230 cupboard 22
